soma	seedNode	overlap	mergedSoma	somaCogV_1	somaCogV_2	somaCogV_3	somaCogO_1	somaCogO_2	somaCogO_3	somaCogM_1	somaCogM_2	somaCogM_3	somaVolV	somaVol	branchVol	stackDistV_1	stackDistV_2	stackDistV_3	stackDistV_4	stackDistV_5	stackDistV_6	stackDistM_1	stackDistM_2	stackDistM_3	stackDistM_4	stackDistM_5	stackDistM_6	nucleiN	group	groupDegree	groupDegreeMultiple	groupShortestDist	stackTouch_1	stackTouch_2	stackTouch_3	stackTouch_4	stackTouch_5	stackTouch_6	cellVol	cellArea	somaNodesVol	branchNodesVol	sphericity	circularity	solidity	nodesN	nodesBranching	nodesEnding	nodesBranchingRatio	nodesEndingRatio	degreeSeed	closenessSeed	betweennessSeed	volumeSeed	degree_1	degree_2	degree_3	degree_4	degree_5	closeness_1	closeness_2	closeness_3	closeness_4	closeness_5	betweenness_1	betweenness_2	betweenness_3	betweenness_4	betweenness_5	volume_1	volume_2	volume_3	volume_4	volume_5	branchN	branchNodesN	branchEndNodesN	branchEndNodesPerBranch	branchSegmentsN	branchCyclesN	branchNodesPerSegment	branchNodesPerBranch	branchSegmentsPerBranch	branchLengthSkel_1	branchLengthSkel_2	branchLengthSkel_3	branchLengthSkel_4	branchLengthSkel_5	branchLengthAir_1	branchLengthAir_2	branchLengthAir_3	branchLengthAir_4	branchLengthAir_5	branchLengthRatio_1	branchLengthRatio_2	branchLengthRatio_3	branchLengthRatio_4	branchLengthRatio_5
1	6	5770	0	1267.59468302658	16.6550783912747	4.90034083162918	1268	17	5	250.504618834356	3.19385899795501	1.76013633265167	7335	114.67624086	228.117386556	1268.59468302658	17.6550783912747	5.90034083162918	270.405316973415	1521.34492160873	47.0996591683708	250.801168834356	3.49040899795501	2.36013633265167	53.4591311656442	300.769891002045	18.8398636673483	1	1	0	0	Inf	0	1	1	0	0	0	342.793627416	876.28840596	158.467399776	150.056245368	0.270307991357749	0.0896674062498672	0.362787280931892	39	7	10	0.179487179487179	0.256410256410256	5	0.00413223140495868	309	102.778678584	1	1.25	2	2	5	0.00187617260787992	0.00275850457336173	0.00328947368421053	0.00387222770943701	0.00476190476190476	0	0.5	107	255.75	473	0.187609392	1.192101345	2.454556212	8.641757619	102.778678584	2	31	8	4	12	0	2.58333333333333	15.5	6	5.35345680837449	5.35345680837449	17.2972145132529	29.2409722181313	29.2409722181313	5.06090770544894	5.06090770544894	11.8722172251467	18.6835267448445	18.6835267448445	1.0578056585799	1.0578056585799	1.31143635782197	1.56506705706405	1.56506705706405
2	865	16413	0	629.796856106409	494.572853688029	8.50471584038694	630	495	9	124.411988452237	97.6782031741233	3.20188633615478	16540	258.58827864	770.339797668	630.796856106409	495.572853688029	9.50471584038694	908.203143893591	1043.42714631197	43.4952841596131	124.708538452237	97.9747531741233	3.80188633615478	179.551761547763	206.285546825877	17.3981136638452	1	2	1	1	58.3431798809954	0	0	1	0	0	0	1028.928076308	3256.12192596	319.358087532	629.97670422	0.151370116223294	0.020691084698682	0.182768254406236	174	31	37	0.17816091954023	0.21264367816092	8	0.000515995872033024	11387	312.416540028	1	2	2	2	8	0.000196463654223969	0.000264970853206147	0.000324939288353922	0.00039032006245121	0.000515995872033024	0	172	679.5	1943	11387	0.15634116	1.01621754	2.274763878	4.53389364	312.416540028	8	171	36	4.5	65	2	2.63076923076923	21.375	8.125	4.06113098642724	6.53309223879854	23.1032863871209	36.5717457738251	49.184290140041	3.12801412791679	4.39520922646037	16.7554223732001	24.3768726289439	31.677994087433	1	1.35286035228488	1.38950875249978	1.67782103359687	2.07314093819665
3	141	10109	0	368.511241534989	495.396478555305	4.24731376975169	369	495	4	72.7558224514673	97.8410338103837	1.49892550790068	11075	173.1478347	395.636939496	369.511241534989	496.396478555305	5.24731376975169	1169.48875846501	1042.6035214447	47.7526862302483	73.0523724514673	98.1375838103837	2.09892550790068	231.207927548533	206.122716189616	19.1010744920993	1	3	0	0	Inf	0	0	1	0	0	0	568.784774196	1771.6776765	184.154252364	337.22788212	0.18738351715039	0.025472475617948	0.210610503865636	90	14	17	0.155555555555556	0.188888888888889	7	0.00124223602484472	2329	170.708912604	1	2	2	2	7	0.000531632110579479	0.000757575757575758	0.000937207945977472	0.00110864745011086	0.00133155792276964	0	88	323.5	720	2347	0.265779972	1.344533976	2.360751516	5.753354688	170.708912604	4	86	15	3.75	29	2	2.96551724137931	21.5	7.25	3.57894840744323	8.89962285013649	22.4918808783862	32.8407876750141	34.9181108860856	3.3667291331226	7.44910104958985	18.1790728560989	25.2445419899112	25.6624112336818	1.06303425845363	1.13090477413303	1.21597397930977	1.31982416339362	1.40647565798013
4	237	8404	0	831.43690574011	836.763704660171	4.42998004460617	831	837	4	164.27622626482	165.329334411316	1.57199201784247	8519	133.187034204	303.051704544	832.43690574011	837.763704660171	5.42998004460617	706.56309425989	701.236295339829	47.5700199553938	164.57277626482	165.625884411316	2.17199201784247	139.68752373518	138.634415588684	19.0280079821575	1	4	2	2	43.9567308401751	0	0	1	0	0	0	436.238738748	1293.59190528	139.9253382	262.903294656	0.215031947326403	0.0668462261830169	0.328160687894666	59	13	14	0.220338983050847	0.23728813559322	1	0.00148148148148148	0	136.657807956	1	2	2	2	6	0.00132275132275132	0.00175753484740554	0.00213219616204691	0.00263938618925831	0.00342465753424658	0	7.5	143.5	312	1052	0.140707044	1.36798515	2.548360908	5.725994985	136.657807956	1	57	1	1	28	2	2.03571428571429	57	28	35.8141602937159	35.8141602937159	35.8141602937159	35.8141602937159	35.8141602937159	26.3379750984583	26.3379750984583	26.3379750984583	26.3379750984583	26.3379750984583	1.35979171366945	1.35979171366945	1.35979171366945	1.35979171366945	1.35979171366945
5	317	4349	0	675.39796221189	1045.65387278663	3.71550103867841	675	1046	4	133.427327129291	206.626920649916	1.28620041547136	10109	158.045278644	645.423210828	676.39796221189	1046.65387278663	4.71550103867841	862.60203778811	492.346127213374	48.2844989613216	133.723877129291	206.923470649916	1.88620041547136	170.536422870709	97.3368293500841	19.3137995845286	1	4	1	1	66.2441406553602	0	0	1	0	0	0	803.468489472	2718.07283532	188.719414236	529.808923008	0.153769050886812	0.0233153143698691	0.263985655737705	169	34	31	0.201183431952663	0.183431952662722	4	0.000566893424036281	10145.5	67.992770484	1	2	2	2	4	0.000234521575984991	0.000285674887895297	0.000331345261762757	0.000403877419122078	0.000566893424036281	0	167	656	2156	10145.5	0.093804696	1.031851656	1.9542645	3.826449891	67.992770484	4	155	29	7.25	63	4	2.46031746031746	38.75	15.75	20.2371755732677	22.8025198921784	27.2907318633649	31.0843469788988	32.955094442157	10.3628989339675	13.5021054573403	17.5051690903132	22.0987336728006	25.8284411456879	1.13106320861017	1.25603811061103	1.66693094613785	1.96658358354459	1.98031828742537
6	1821	9715	0	50.956754159409	1042.95531263139	7.23052435581717	51	1043	7	9.97530029731515	206.093415307226	2.69220974232687	16649	260.292397284	869.897848356	51.956754159409	1043.95531263139	8.23052435581717	1487.04324584059	495.044687368611	44.7694756441828	10.2718502973152	206.389965307226	3.29220974232687	293.988449702685	97.8703346927743	17.9077902576731	1	5	0	0	Inf	1	0	1	0	0	0	1130.19024564	3468.92434758	343.043773272	694.9364562	0.151259850111259	0.0246906971640835	0.242025458629727	180	38	42	0.211111111111111	0.233333333333333	7	0.000431034482758621	4270	171.209204316	1	2	2	2	7	0.000186601977980967	0.000278982329744116	0.000337443075340159	0.000388879865686354	0.000487329434697856	0	2.5	528	2158	8484	0.140707044	0.906778728	2.173142124	4.619881278	171.209204316	6	165	38	6.33333333333333	77	6	2.14285714285714	27.5	12.8333333333333	2.45926212049037	3.89724355801471	10.0258396521706	22.2132001544537	56.826622891638	2.45926212049037	3.89724355801471	8.61324746927737	18.7595100661298	42.7683653987571	1	1	1.16802253093118	1.18410342680322	1.32870691600688
7	396	5872	0	1074.44147116325	1172.90175953079	3.64601661779081	1074	1173	4	212.318228848974	231.783827859238	1.25840664711632	8184	127.949605344	1379.226079404	1075.44147116325	1173.90175953079	4.64601661779081	463.558528836755	365.098240469208	48.3539833822092	212.614778848974	232.080377859238	1.85840664711632	91.6455211510264	72.1799221407624	19.3415933528837	1	6	0	0	Inf	0	0	1	0	0	0	1507.175684748	4490.41343946	129.52865106	1264.09644918	0.141570809324477	0.0222704842783025	0.289050748159291	199	48	51	0.241206030150754	0.256281407035176	3	0.000417536534446764	587	92.71030788	1	1	2	2	8	0.000190331176246669	0.000275203175723993	0.000336473755047106	0.000388539453193141	0.000510464522715671	0	0	585	2016.75	11062.5	0.187609392	1.020126069	2.642165604	6.206744052	179.182603476	1	195	1	1	106	11	1.83962264150943	195	106	67.5369294123018	67.5369294123018	67.5369294123018	67.5369294123018	67.5369294123018	57.7318059922094	57.7318059922094	57.7318059922094	57.7318059922094	57.7318059922094	1.16983919438473	1.16983919438473	1.16983919438473	1.16983919438473	1.16983919438473
8	639	1769	0	497.596369254538	1505.5797605253	2.99497875627655	498	1506	3	98.2759522016222	297.554268655852	0.997991502510622	5178	80.953452648	313.8548787	498.596369254538	1506.5797605253	3.99497875627655	1040.40363074546	32.4202394747006	49.0050212437234	98.5725022016222	297.850818655852	1.59799150251062	205.687797798378	6.4094813441483	19.6020084974894	1	7	0	0	Inf	0	0	1	0	1	0	394.808331348	1390.08377922	92.679039648	266.592946032	0.187226515501621	0.0515144225057642	0.370291885979903	73	12	19	0.164383561643836	0.26027397260274	5	0.00255102040816327	1781	39.31980174	1	1	2	2	6	0.000942507068803016	0.00134551882559851	0.00165016501650165	0.00195408054060665	0.00255102040816327	0	0	140	396	1781	0.250145856	1.137381939	2.329483284	5.757263217	39.31980174	4	67	16	4	26	3	2.57692307692308	16.75	6.5	2.58422435134039	9.47717715576363	17.2085432322587	22.8169021720376	27.5868478397447	2.43754139979827	4.0547626452244	7.22180861918334	12.4475653834077	16.1234974190992	1.06017659907408	1.38557415110751	1.7886147975295	2.5240146794392	3.18177146696034
9	646	15112	0	909.466942644588	1508.46346292297	6.47762179025678	909	1508	6	179.702764560835	298.12437661987	2.39104871610271	16668	260.589445488	973.239355116	910.466942644588	1509.46346292297	7.47762179025678	628.533057355412	29.5365370770339	45.5223782097432	179.999314560835	298.42092661987	2.99104871610271	124.260985439165	5.83937338012961	18.2089512838973	1	8	0	0	Inf	0	0	1	0	1	1	1233.828800604	3871.62113826	275.348050992	845.383554468	0.143690439945719	0.0361060810623317	0.334221775207443	206	41	43	0.199029126213592	0.20873786407767	6	0.000435161009573542	9341	240.937361676	1	2	2	2	6	0.00017825311942959	0.000258933195235629	0.000308594536395871	0.000360490266762797	0.000467289719626168	0	204	804	2138	10278	0.187609392	1.579045716	2.978299098	5.581379412	240.937361676	6	200	42	7	87	5	2.29885057471264	33.3333333333333	14.5	3.73457638091271	5.9010214091929	19.9845905967532	43.87476604926	48.8695421555327	3.73457638091271	4.93896200318865	13.4237009360656	23.8342310824026	29.6396190085472	1	1.17225087914519	1.199114692007	1.4802742922103	2.83800785351704
10	657	6282	0	1370.98569570871	1524.50137263401	4.94249385926889	1371	1525	5	270.945022041612	301.295071369744	1.77699754370756	6921	108.203716836	39.194728812	1371.98569570871	1525.50137263401	5.94249385926889	167.014304291287	13.4986273659877	47.0575061407311	271.241572041612	301.591621369744	2.37699754370756	33.0187279583875	2.66867863025576	18.8230024562924	1	9	0	0	Inf	0	0	1	0	1	0	147.398445648	319.9697397	111.31490592	27.078288912	0.42173257961903	0.256989931102518	0.689235265465173	13	1	5	0.0769230769230769	0.384615384615385	5	0.0333333333333333	48	100.99638936	1	1	2	2	5	0.0151515151515152	0.0208498023715415	0.024390243902439	0.0276232114467409	0.0333333333333333	0	0	11	28.25	48	0.281414088	1.000583424	2.220044472	6.01913466	100.99638936	2	8	2	1	2	0	4	4	1	2.98678391923506	2.98678391923506	4.38487166966261	5.78295942009016	5.78295942009016	2.48052289554332	2.48052289554332	3.43438481756382	4.38824673958432	4.38824673958432	1.20409447725773	1.20409447725773	1.26096180784905	1.31782913844037	1.31782913844037
